lon,lat
489282.6141525138,6941080.464573657
489282.6141525138,6949141.743111479
489282.6141525138,6957203.021649301
489282.6141525138,6965264.300187123
489282.6141525138,6973325.578724945
489282.6141525138,6981386.857262767
489282.6141525138,6989448.135800589
489282.6141525138,6997509.414338411
489282.6141525138,7005570.692876233
489282.6141525138,7013631.971414055
489282.6141525138,7021693.249951877
489282.6141525138,7029754.5284897
489282.6141525138,7037815.807027522
489282.6141525138,7045877.0855653435
489282.6141525138,7053938.364103165
489282.6141525138,7061999.642640987
489282.6141525138,7070060.921178809
489282.6141525138,7078122.199716631
489282.6141525138,7086183.478254453
489282.6141525138,7094244.756792275
489282.6141525138,7102306.035330097
489282.6141525138,7110367.313867919
489282.6141525138,7118428.592405741
489282.6141525138,7126489.870943563
489282.6141525138,7134551.149481385
489282.6141525138,7142612.428019207
489282.6141525138,7150673.706557029
489282.6141525138,7158734.985094851
489282.6141525138,7166796.263632674
489282.6141525138,7174857.542170496
489282.6141525138,7182918.820708318
489282.6141525138,7190980.09924614
489282.6141525138,7199041.377783962
496740.5182144453,6868528.957733259
496740.5182144453,6876590.236271081
496740.5182144453,6884651.5148089025
496740.5182144453,6892712.7933467245
496740.5182144453,6900774.071884547
496740.5182144453,6908835.350422369
496740.5182144453,6916896.628960191
496740.5182144453,6924957.907498013
496740.5182144453,6933019.186035835
496740.5182144453,6941080.464573657
496740.5182144453,6949141.743111479
496740.5182144453,6957203.021649301
496740.5182144453,6965264.300187123
496740.5182144453,6973325.578724945
496740.5182144453,6981386.857262767
496740.5182144453,6989448.135800589
496740.5182144453,6997509.414338411
496740.5182144453,7005570.692876233
496740.5182144453,7013631.971414055
496740.5182144453,7021693.249951877
496740.5182144453,7029754.5284897
496740.5182144453,7037815.807027522
496740.5182144453,7045877.0855653435
496740.5182144453,7053938.364103165
496740.5182144453,7061999.642640987
496740.5182144453,7070060.921178809
496740.5182144453,7078122.199716631
496740.5182144453,7086183.478254453
496740.5182144453,7094244.756792275
496740.5182144453,7102306.035330097
496740.5182144453,7110367.313867919
496740.5182144453,7118428.592405741
496740.5182144453,7126489.870943563
496740.5182144453,7134551.149481385
496740.5182144453,7142612.428019207
496740.5182144453,7150673.706557029
496740.5182144453,7158734.985094851
496740.5182144453,7166796.263632674
496740.5182144453,7174857.542170496
496740.5182144453,7182918.820708318
496740.5182144453,7190980.09924614
504198.4222763769,6860467.679195437
504198.4222763769,6868528.957733259
504198.4222763769,6876590.236271081
504198.4222763769,6884651.5148089025
504198.4222763769,6892712.7933467245
504198.4222763769,6900774.071884547
504198.4222763769,6908835.350422369
504198.4222763769,6916896.628960191
504198.4222763769,6924957.907498013
504198.4222763769,6933019.186035835
504198.4222763769,6941080.464573657
504198.4222763769,6949141.743111479
504198.4222763769,6957203.021649301
504198.4222763769,6965264.300187123
504198.4222763769,6973325.578724945
504198.4222763769,6981386.857262767
504198.4222763769,6989448.135800589
504198.4222763769,6997509.414338411
504198.4222763769,7005570.692876233
504198.4222763769,7013631.971414055
504198.4222763769,7021693.249951877
504198.4222763769,7029754.5284897
504198.4222763769,7037815.807027522
504198.4222763769,7045877.0855653435
504198.4222763769,7053938.364103165
504198.4222763769,7061999.642640987
504198.4222763769,7070060.921178809
504198.4222763769,7078122.199716631
504198.4222763769,7086183.478254453
504198.4222763769,7094244.756792275
504198.4222763769,7102306.035330097
504198.4222763769,7110367.313867919
504198.4222763769,7118428.592405741
504198.4222763769,7126489.870943563
504198.4222763769,7134551.149481385
504198.4222763769,7142612.428019207
504198.4222763769,7150673.706557029
504198.4222763769,7158734.985094851
504198.4222763769,7166796.263632674
504198.4222763769,7174857.542170496
511656.3263383085,6884651.5148089025
511656.3263383085,6892712.7933467245
511656.3263383085,6900774.071884547
511656.3263383085,6908835.350422369
511656.3263383085,6916896.628960191
511656.3263383085,6924957.907498013
511656.3263383085,6933019.186035835
511656.3263383085,6941080.464573657
511656.3263383085,6949141.743111479
511656.3263383085,6957203.021649301
511656.3263383085,6965264.300187123
511656.3263383085,6973325.578724945
511656.3263383085,6981386.857262767
511656.3263383085,6989448.135800589
511656.3263383085,6997509.414338411
511656.3263383085,7005570.692876233
511656.3263383085,7013631.971414055
511656.3263383085,7021693.249951877
511656.3263383085,7029754.5284897
511656.3263383085,7037815.807027522
511656.3263383085,7045877.0855653435
511656.3263383085,7053938.364103165
511656.3263383085,7061999.642640987
511656.3263383085,7070060.921178809
511656.3263383085,7078122.199716631
511656.3263383085,7086183.478254453
511656.3263383085,7094244.756792275
511656.3263383085,7102306.035330097
511656.3263383085,7110367.313867919
511656.3263383085,7118428.592405741
511656.3263383085,7126489.870943563
511656.3263383085,7134551.149481385
511656.3263383085,7142612.428019207
511656.3263383085,7150673.706557029
511656.3263383085,7158734.985094851
511656.3263383085,7166796.263632674
511656.3263383085,7174857.542170496
519114.23040024005,6892712.7933467245
519114.23040024005,6908835.350422369
519114.23040024005,6916896.628960191
519114.23040024005,6924957.907498013
519114.23040024005,6933019.186035835
519114.23040024005,6941080.464573657
519114.23040024005,6949141.743111479
519114.23040024005,6957203.021649301
519114.23040024005,6965264.300187123
519114.23040024005,6973325.578724945
519114.23040024005,6981386.857262767
519114.23040024005,6989448.135800589
519114.23040024005,6997509.414338411
519114.23040024005,7005570.692876233
519114.23040024005,7013631.971414055
519114.23040024005,7021693.249951877
519114.23040024005,7029754.5284897
519114.23040024005,7037815.807027522
519114.23040024005,7045877.0855653435
519114.23040024005,7053938.364103165
519114.23040024005,7061999.642640987
519114.23040024005,7070060.921178809
519114.23040024005,7078122.199716631
519114.23040024005,7086183.478254453
519114.23040024005,7094244.756792275
519114.23040024005,7102306.035330097
519114.23040024005,7110367.313867919
519114.23040024005,7118428.592405741
519114.23040024005,7126489.870943563
519114.23040024005,7134551.149481385
519114.23040024005,7142612.428019207
519114.23040024005,7150673.706557029
519114.23040024005,7158734.985094851
526572.1344621716,6916896.628960191
526572.1344621716,6924957.907498013
526572.1344621716,6933019.186035835
526572.1344621716,6941080.464573657
526572.1344621716,6949141.743111479
526572.1344621716,6957203.021649301
526572.1344621716,6965264.300187123
526572.1344621716,6973325.578724945
526572.1344621716,6981386.857262767
526572.1344621716,6989448.135800589
526572.1344621716,6997509.414338411
526572.1344621716,7005570.692876233
526572.1344621716,7013631.971414055
526572.1344621716,7021693.249951877
526572.1344621716,7029754.5284897
526572.1344621716,7037815.807027522
526572.1344621716,7045877.0855653435
526572.1344621716,7053938.364103165
526572.1344621716,7061999.642640987
526572.1344621716,7070060.921178809
526572.1344621716,7078122.199716631
526572.1344621716,7086183.478254453
526572.1344621716,7094244.756792275
526572.1344621716,7102306.035330097
526572.1344621716,7110367.313867919
526572.1344621716,7118428.592405741
526572.1344621716,7126489.870943563
526572.1344621716,7134551.149481385
526572.1344621716,7142612.428019207
526572.1344621716,7150673.706557029
534030.0385241031,6916896.628960191
534030.0385241031,6924957.907498013
534030.0385241031,6933019.186035835
534030.0385241031,6941080.464573657
534030.0385241031,6949141.743111479
534030.0385241031,6957203.021649301
534030.0385241031,6965264.300187123
534030.0385241031,6973325.578724945
534030.0385241031,6981386.857262767
534030.0385241031,6989448.135800589
534030.0385241031,6997509.414338411
534030.0385241031,7005570.692876233
534030.0385241031,7013631.971414055
534030.0385241031,7021693.249951877
534030.0385241031,7029754.5284897
534030.0385241031,7037815.807027522
534030.0385241031,7045877.0855653435
534030.0385241031,7053938.364103165
534030.0385241031,7061999.642640987
534030.0385241031,7070060.921178809
534030.0385241031,7078122.199716631
534030.0385241031,7086183.478254453
534030.0385241031,7094244.756792275
534030.0385241031,7102306.035330097
534030.0385241031,7110367.313867919
534030.0385241031,7118428.592405741
534030.0385241031,7126489.870943563
534030.0385241031,7134551.149481385
534030.0385241031,7142612.428019207
534030.0385241031,7150673.706557029
541487.9425860348,6916896.628960191
541487.9425860348,6924957.907498013
541487.9425860348,6933019.186035835
541487.9425860348,6941080.464573657
541487.9425860348,6949141.743111479
541487.9425860348,6957203.021649301
541487.9425860348,6965264.300187123
541487.9425860348,6973325.578724945
541487.9425860348,6981386.857262767
541487.9425860348,6989448.135800589
541487.9425860348,6997509.414338411
541487.9425860348,7005570.692876233
541487.9425860348,7013631.971414055
541487.9425860348,7021693.249951877
541487.9425860348,7029754.5284897
541487.9425860348,7037815.807027522
541487.9425860348,7045877.0855653435
541487.9425860348,7053938.364103165
541487.9425860348,7061999.642640987
541487.9425860348,7070060.921178809
541487.9425860348,7078122.199716631
541487.9425860348,7086183.478254453
541487.9425860348,7094244.756792275
541487.9425860348,7102306.035330097
541487.9425860348,7110367.313867919
541487.9425860348,7118428.592405741
541487.9425860348,7126489.870943563
541487.9425860348,7134551.149481385
548945.8466479663,6908835.350422369
548945.8466479663,6916896.628960191
548945.8466479663,6924957.907498013
548945.8466479663,6933019.186035835
548945.8466479663,6941080.464573657
548945.8466479663,6949141.743111479
548945.8466479663,6957203.021649301
548945.8466479663,6965264.300187123
548945.8466479663,6973325.578724945
548945.8466479663,6981386.857262767
548945.8466479663,6989448.135800589
548945.8466479663,6997509.414338411
548945.8466479663,7005570.692876233
548945.8466479663,7013631.971414055
548945.8466479663,7021693.249951877
548945.8466479663,7029754.5284897
548945.8466479663,7037815.807027522
548945.8466479663,7045877.0855653435
548945.8466479663,7053938.364103165
548945.8466479663,7061999.642640987
548945.8466479663,7070060.921178809
548945.8466479663,7078122.199716631
548945.8466479663,7086183.478254453
548945.8466479663,7094244.756792275
